Year,Regional Site,Game,Winning Team,Runs,Seed,Losing Team,Runs,Seed
2003,Tallahassee,1,South Alabama,14,2,Rutgers,1,3
2003,Tallahassee,2,Florida State,6,1,Jacksonville,0,4
2003,Tallahassee,3,Rutgers,8,3,Jacksonville,5,4
2003,Tallahassee,4,South Alabama,8,2,Florida State,6,1
2003,Tallahassee,5,Florida State,17,1,Rutgers,7,3
2003,Tallahassee,6,Florida State,13,1,South Alabama,5,2
2003,Tallahassee,7,Florida State,12,1,South Alabama,2,2
2003,Austin,1,Lamar,3,3,Arkansas,2,2
2003,Austin,2,Texas,7,1,Bucknell,0,4
2003,Austin,3,Arkansas,10,2,Bucknell,7,4
2003,Austin,4,Texas,7,1,Lamar,3,3
2003,Austin,5,Lamar,7,3,Arkansas,6,2
2003,Austin,6,Lamar,6,3,Texas,2,1
2003,Austin,7,Texas,6,1,Lamar,3,3
2003,"Wilson, NC",1,Virginia Commonwealth,6,2,Western Carolina,0,3
2003,"Wilson, NC",2,North Carolina St.,8,1,LeMoyne,2,4
2003,"Wilson, NC",3,Western Carolina,9,3,LeMoyne,7,4
2003,"Wilson, NC",4,North Carolina St.,4,1,Virginia Commonwealth,3,2
2003,"Wilson, NC",5,Western Carolina,2,3,Virginia Commonwealth,0,2
2003,"Wilson, NC",6,North Carolina St.,6,1,Western Carolina,4,3
2003,Coral Gables,1,Florida Atlantic,4,2,Florida,3,3
2003,Coral Gables,2,Miami,10,1,Bethune-Cookman,5,4
2003,Coral Gables,3,Florida,8,3,Bethune-Cookman,6,4
2003,Coral Gables,4,Miami,1,1,Florida Atlantic,0,2
2003,Coral Gables,5,Florida,22,3,Florida Atlantic,14,2
2003,Coral Gables,6,Florida,15,3,Miami,5,1
2003,Coral Gables,7,Miami,13,1,Florida,10,3
2003,Houston,1,Rice,3,1,McNeese St.,2,4
2003,Houston,2,Wichita State,4,3,Mississippi,2,2
2003,Houston,3,Mississippi,7,2,McNeese St.,1,4
2003,Houston,4,Rice,10,1,Wichita State,1,3
2003,Houston,5,Wichita State,5,3,Mississippi,4,2
2003,Houston,6,Rice,5,1,Wichita State,2,3
2003,College Station,1,Alabama,9,2,Houston,3,3
2003,College Station,2,Texas A&M,6,1,Oral Roberts,3,4
2003,College Station,3,Houston,4,3,Oral Roberts,2,4
2003,College Station,4,Texas A&M,16,1,Alabama,5,2
2003,College Station,5,Houston,16,3,Alabama,8,2
2003,College Station,6,Houston,7,3,Texas A&M,6,1
2003,College Station,7,Houston,7,3,Texas A&M,6,1
2003,Lincoln,1,Nebraska,16,1,Eastern Michigan,11,4
2003,Lincoln,2,Southwest Missouri,8,3,Coastal Carolina,3,2
2003,Lincoln,3,Eastern Michigan,9,4,Coastal Carolina,8,2
2003,Lincoln,4,Southwest Missouri,4,3,Nebraska,2,1
2003,Lincoln,5,Nebraska,18,1,Eastern Michigan,2,4
2003,Lincoln,6,Nebraska,9,1,Southwest Missouri,5,3
2003,Lincoln,7,Southwest Missouri,7,3,Nebraska,0,1
